id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
2121,1.414495664,female,14.0,w. sou. central,48.0,31545.0,64.0,48.0,31.0,84.2,mod. satisfied,strongly agree,strongly disagree,disagree,,neither agree nor disagree
2122,0.9429971097,female,13.0,w. sou. central,52.0,16648.75,53.0,45.0,53.0,69.3,very satisfied,,,,,
2123,0.4714985548,male,14.0,w. sou. central,87.0,26287.5,49.0,47.0,,46.0,,,,,,
2124,0.9429971097,male,14.0,w. sou. central,39.0,19277.5,24.0,64.0,38.0,20.7,very satisfied,,,,,
2125,0.9429971097,female,14.0,w. sou. central,35.0,38555.0,38.0,48.0,46.0,43.0,,strongly agree,disagree,agree,disagree,agree
2126,0.9429971097,female,14.0,w. sou. central,30.0,16648.75,31.0,42.0,,19.6,mod. satisfied,,,,,
2127,1.414495664,female,13.0,w. sou. central,20.0,38555.0,35.0,47.0,49.0,21.8,,,,,,
2128,0.9429971097,female,12.0,w. sou. central,49.0,38555.0,49.0,63.0,49.0,66.1,very satisfied,strongly agree,disagree,disagree,agree,strongly agree
2129,1.885994219,female,17.0,w. sou. central,36.0,19277.5,31.0,,44.0,21.1,a little dissat,,,,,
2130,0.9429971097,male,7.0,w. sou. central,40.0,31545.0,28.0,27.0,60.0,25.2,very satisfied,disagree,agree,disagree,agree,agree
2131,0.9429971097,male,12.0,w. sou. central,62.0,98140.0,49.0,45.0,35.0,53.2,,agree,disagree,disagree,disagree,disagree
2132,0.4714985548,female,12.0,w. sou. central,22.0,14896.25,25.0,33.0,,12.6,mod. satisfied,agree,disagree,disagree,disagree,neither agree nor disagree
2133,0.9429971097,female,20.0,w. sou. central,38.0,70100.0,61.0,64.0,,80.9,very satisfied,strongly agree,strongly disagree,agree,strongly disagree,strongly disagree
2134,0.9429971097,male,16.0,w. sou. central,59.0,47317.5,66.0,31.0,66.0,62.6,very satisfied,,,,,
2135,0.9429971097,female,15.0,w. sou. central,25.0,31545.0,55.0,35.0,,58.6,mod. satisfied,disagree,strongly disagree,disagree,disagree,agree
2136,0.4714985548,female,12.0,w. sou. central,55.0,11391.25,39.0,,49.0,41.0,mod. satisfied,disagree,disagree,disagree,disagree,agree
2137,0.9429971097,female,12.0,w. sou. central,37.0,70100.0,55.0,,49.0,37.2,mod. satisfied,,,,,
2138,0.9429971097,female,16.0,w. sou. central,72.0,57832.5,74.0,,35.0,84.5,very satisfied,agree,disagree,agree,strongly disagree,agree
2139,0.9429971097,female,9.0,w. sou. central,58.0,,25.0,25.0,46.0,23.8,very satisfied,agree,disagree,disagree,disagree,neither agree nor disagree
2140,0.9429971097,female,12.0,w. sou. central,65.0,14896.25,55.0,50.0,28.0,37.2,very satisfied,agree,disagree,disagree,disagree,agree
2141,0.9429971097,female,12.0,w. sou. central,46.0,31545.0,38.0,,35.0,43.0,very satisfied,,,,,
2142,0.9429971097,female,12.0,w. sou. central,50.0,47317.5,48.0,28.0,45.0,24.2,very satisfied,agree,disagree,disagree,disagree,disagree
2143,0.9429971097,male,12.0,w. sou. central,85.0,31545.0,50.0,33.0,35.0,68.0,,,,,,
2144,0.9429971097,male,16.0,w. sou. central,73.0,6309.0,64.0,64.0,48.0,82.5,,strongly agree,disagree,disagree,disagree,agree
2145,0.9429971097,male,12.0,w. sou. central,89.0,98140.0,59.0,,35.0,65.1,very satisfied,,,,,
2146,0.4714985548,male,14.0,w. sou. central,69.0,16648.75,37.0,,35.0,33.2,,,,,,
2147,0.9429971097,male,12.0,w. sou. central,71.0,,43.0,35.0,27.0,36.2,,agree,agree,,agree,agree
2148,0.9429971097,female,12.0,w. sou. central,66.0,47317.5,25.0,,46.0,23.3,very satisfied,disagree,agree,agree,agree,agree
2149,1.885994219,male,11.0,w. sou. central,19.0,84120.0,,31.0,46.0,,,agree,agree,,disagree,neither agree nor disagree
2150,0.9429971097,male,6.0,w. sou. central,56.0,,49.0,,27.0,51.8,,disagree,,disagree,disagree,agree
2151,0.4714985548,male,8.0,w. sou. central,46.0,22782.5,35.0,28.0,48.0,32.0,mod. satisfied,disagree,disagree,disagree,disagree,agree
2152,0.4714985548,female,14.0,w. sou. central,49.0,38555.0,55.0,37.0,42.0,37.2,,disagree,strongly agree,agree,agree,agree
